academic_year,subject,sex,points_prior,points_1618,progress_score,student_count
202425,English,All,0,0,0,144
202425,English,All,0,0.25,0.25,67
202425,English,All,0,0.5,0.5,182
202425,English,All,0,0.75,0.75,374
202425,English,All,0,1,1,150
202425,English,All,0,1.25,1.25,29
202425,English,All,0,2,2,278
202425,English,All,0,3,3,85
202425,English,All,0,3.5,3.5,48
202425,English,All,0,4,3.75,1
202425,English,All,0,4,4,35
202425,English,All,0,5,5,17
202425,English,All,0,6,6,8
202425,English,All,0,7,7,2
202425,English,All,0,8,8,0
202425,English,All,0,9,9,4
202425,English,All,0,No entry,-1,794
202425,English,All,0.25,0,-0.25,13
202425,English,All,0.25,0.25,0,91
202425,English,All,0.25,0.5,0.25,280
202425,English,All,0.25,0.75,0.5,262
202425,English,All,0.25,1,0.75,33
202425,English,All,0.25,1.25,1,21
202425,English,All,0.25,2,1.75,64
202425,English,All,0.25,3,2.75,21
202425,English,All,0.25,3.5,3.25,3
202425,English,All,0.25,4,3.75,4
202425,English,All,0.25,5,4.75,2
202425,English,All,0.25,6,5.75,1
202425,English,All,0.25,7,6.75,0
202425,English,All,0.25,8,7.75,0
202425,English,All,0.25,9,8.75,0
202425,English,All,0.25,No entry,-1,382
202425,English,All,0.5,0,-0.5,20
202425,English,All,0.5,0.25,-0.25,33
202425,English,All,0.5,0.5,0,165
202425,English,All,0.5,0.75,0.25,471
202425,English,All,0.5,1,0.5,62
202425,English,All,0.5,1.25,0.75,35
202425,English,All,0.5,2,1.25,1
202425,English,All,0.5,2,1.5,191
202425,English,All,0.5,3,2.5,49
202425,English,All,0.5,3.5,3,14
202425,English,All,0.5,4,3.5,16
202425,English,All,0.5,5,4.5,5
202425,English,All,0.5,6,5.5,0
202425,English,All,0.5,7,6.5,0
202425,English,All,0.5,8,7.5,0
202425,English,All,0.5,9,8.5,0
202425,English,All,0.5,No entry,-1,468
202425,English,All,0.75,0,-0.75,31
202425,English,All,0.75,0.25,-0.5,13
202425,English,All,0.75,0.5,-0.25,45
202425,English,All,0.75,0.75,0,157
202425,English,All,0.75,1,0.25,66
202425,English,All,0.75,1.25,0.5,20
202425,English,All,0.75,2,1.25,387
202425,English,All,0.75,3,1,1
202425,English,All,0.75,3,2.25,151
202425,English,All,0.75,3.5,2.75,98
202425,English,All,0.75,4,3.25,58
202425,English,All,0.75,5,4.25,22
202425,English,All,0.75,6,5.25,13
202425,English,All,0.75,7,6.25,0
202425,English,All,0.75,8,7.25,0
202425,English,All,0.75,9,8.25,0
